S,T,fillRate,time,InitBlocking1,InitBlocking2,InitBlocking3,InitBlocking4,InitBlocking5,InitBlocking6,InitBlocking7,InitBlocking8,InitBlocking9,InitBlocking10,InitBlocking11,InitBlocking12,InitBlocking13,InitBlocking14,InitBlocking15,InitBlocking16,InitBlocking17,InitBlocking18,InitBlocking19,InitBlocking20,InitBlocking21,InitBlocking22,InitBlocking23,InitBlocking24,InitBlocking25,InitBlocking26,InitBlocking27,InitBlocking28,InitBlocking29,InitBlocking30,AvgBlocking,instance1,instance2,instance3,instance4,instance5,instance6,instance7,instance8,instance9,instance10,instance11,instance12,instance13,instance14,instance15,instance16,instance17,instance18,instance19,instance20,instance21,instance22,instance23,instance24,instance25,instance26,instance27,instance28,instance29,instance30,AvgInstance
5,3,5.000000e-01,2.232420e-02,1.500000e+00,1,1.500000e+00,2.166667e+00,2,5.000000e-01,2.500000e+00,1,1,2.500000e+00,1,3,1,1.500000e+00,1,2.500000e+00,3,1.500000e+00,1.500000e+00,1.500000e+00,1,2,2,2.500000e+00,1,2,2,1,1,1.500000e+00,1.638889e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333e-02
6,3,5.000000e-01,1.304240e-02,2.500000e+00,3,1,3,1,1,0,5.000000e-01,0,2,2,2,2.500000e+00,2,2.500000e+00,1.500000e+00,3.500000e+00,1,2,1.500000e+00,3,5.000000e-01,1,3,2,5.000000e-01,1.500000e+00,5.000000e-01,3,1,1.683333e+00,0,0,0,0,0,0,0,0,0,5.000000e-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.333333e-02
7,3,5.000000e-01,1.605530e-02,1,1,2.500000e+00,2.500000e+00,4,3,3,3,2,3.500000e+00,3,5.000000e-01,4,3.500000e+00,3.500000e+00,1,2,3.500000e+00,3,3.500000e+00,3,4,3,4,2,3.500000e+00,3,3,4,2,2.816667e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.333333e-02
8,3,5.000000e-01,1.262650e-02,3,1.500000e+00,3.500000e+00,3,3,3,5.000000e-01,2,1,1,1.500000e+00,2,4,4,4,3.500000e+00,2,3.500000e+00,2,2,4,0,2.500000e+00,2.500000e+00,1,1,2.500000e+00,1.666667e+00,2.500000e+00,1,2.288889e+00,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000e-01
9,3,5.000000e-01,1.196970e-02,3.500000e+00,1,2.500000e+00,3,3,3,3,2,2.500000e+00,4,4,4,3,1,2.500000e+00,2,4,4,4.500000e+00,3.500000e+00,2,2,3,3,5,3,4,2.500000e+00,1,4,2.983333e+00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.000000e-01
10,3,5.000000e-01,7.915700e-03,2.500000e+00,3,2,3,3,5,4,4,3,4,3,1,6,5,2.500000e+00,6,1,5,1.500000e+00,3.500000e+00,4,4,1.500000e+00,3,3,2,2.500000e+00,1,2.500000e+00,4,3.183333e+00,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2.000000e-01
5,4,5.000000e-01,2.145680e-02,1,1,4.500000e+00,3,3,3,5.000000e-01,2.500000e+00,2.500000e+00,2.500000e+00,5,3,1.500000e+00,3,3,4,3,2.500000e+00,4,1.500000e+00,1,4.500000e+00,3,5,2,4,4.500000e+00,3,3,2.500000e+00,2.883333e+00,0,0,1,0,0,0,0,0,0,0,0,0,0,5.000000e-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.000000e-02
6,4,5.000000e-01,1.234440e-02,6,4,4.500000e+00,3.500000e+00,2,1,3,2.500000e+00,6,5,5.500000e+00,2,5,3.666667e+00,4,3.500000e+00,3,5.500000e+00,2,4.500000e+00,5,3.500000e+00,3.500000e+00,2,2.500000e+00,2.500000e+00,2,2.500000e+00,3.500000e+00,3,3.538889e+00,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.333333e-01
7,4,5.000000e-01,1.563530e-02,4.500000e+00,3.500000e+00,5,5,5,4,2,3.500000e+00,4,3.500000e+00,4,4.500000e+00,3,3.500000e+00,2.500000e+00,5,5,4,3.500000e+00,4,4,4,4,4.500000e+00,3,4,5,4,3,4.500000e+00,3.966667e+00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,2.000000e-01
8,4,5.000000e-01,1.420000e-02,3,3.500000e+00,5,5.500000e+00,4,5,4.500000e+00,3.500000e+00,1.500000e+00,5,5.500000e+00,5.500000e+00,3.500000e+00,5,6,6.500000e+00,4,8,5,7,4,3,7,2.500000e+00,3.500000e+00,4,7.500000e+00,4.500000e+00,6.500000e+00,1.500000e+00,4.683333e+00,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,6.666670e-01,1,0,0,0,0,0,0,0,2.555556e-01
9,4,5.000000e-01,1.385210e-02,5,4.500000e+00,5.500000e+00,7,5.500000e+00,7,6,5,6.500000e+00,7,4,6,4.500000e+00,7.500000e+00,7,5.500000e+00,6.500000e+00,4.500000e+00,7.500000e+00,5,3,6,5,5,5,4.500000e+00,5,5.500000e+00,7,6,5.633333e+00,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2.333333e-01
10,4,5.000000e-01,2.126010e-02,8,6,7,6,6.500000e+00,4.500000e+00,6,4,7,6,8,3,6,6.500000e+00,4.500000e+00,5,6.500000e+00,6,7,6.500000e+00,7,9,4.500000e+00,6.500000e+00,6,8,6,6,7.500000e+00,5.500000e+00,6.200000e+00,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,1,0,1,0,0,0,5.000000e-01,0,0,1,2,3.500000e-01
5,5,5.000000e-01,1.380400e-02,5,5.500000e+00,5.500000e+00,4,5.500000e+00,5.500000e+00,3,5,5,5.500000e+00,4.500000e+00,2.500000e+00,5,5,4.500000e+00,2.500000e+00,3,4,4.500000e+00,5,5.166667e+00,5.500000e+00,5,5.500000e+00,5,4.500000e+00,5,3.500000e+00,5.500000e+00,3.500000e+00,4.605556e+00,0,0,0,1,0,1,1,2.500000e+00,0,1,0,1,1,1,2,1,0,1,0,0,1,1,0,0,5.000000e-01,5.000000e-01,0,0,5.000000e-01,0,5.666667e-01
6,5,5.000000e-01,2.221140e-02,6,7,6,5,6,2,6,3,5,8,5.500000e+00,8,5.500000e+00,6,5.500000e+00,4.500000e+00,5.500000e+00,7.500000e+00,5.500000e+00,6,5.500000e+00,4.500000e+00,5,4.500000e+00,4,6,3.666667e+00,4.500000e+00,5,5,5.372222e+00,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,1,1,1.500000e+00,1,1,0,1,1,0,0,0,0,1,0,4.833333e-01
7,5,5.000000e-01,1.093280e-02,6,7,6.500000e+00,8,5,6.500000e+00,8,8.500000e+00,8.500000e+00,5,4.500000e+00,5,6.500000e+00,7.500000e+00,6,4.500000e+00,6.500000e+00,6,5,7,6,9.500000e+00,7,7,6.500000e+00,6,7.666667e+00,6.500000e+00,7.500000e+00,3.500000e+00,6.488889e+00,0,1,0,5.000000e-01,1,0,2,1,0,0,1.500000e+00,0,5.000000e-01,1.500000e+00,0,5.000000e-01,0,0,0,1,0,0,0,5.000000e-01,3,0,2,0,2,0,6.000000e-01
8,5,5.000000e-01,1.296440e-02,7,6,6,7.500000e+00,5.500000e+00,8,10,1.050000e+01,6.500000e+00,6,8,4,6,5.500000e+00,8.500000e+00,6,8,8.500000e+00,3.500000e+00,8,7,9,7.500000e+00,6.500000e+00,8.500000e+00,9,8,8,9.500000e+00,4,7.200000e+00,1.500000e+00,1,0,1,5.000000e-01,1,3,2,1.500000e+00,0,1,0,0,0,3.500000e+00,2,0,1,0,1,0,0,1,0,0,2,1,2,2,0,9.333333e-01
9,5,5.000000e-01,1.751250e-02,9,13,7,8,10,7,12,8.500000e+00,1.050000e+01,6,13,10,10,7.500000e+00,5.500000e+00,9.500000e+00,8,7,5,7,1.150000e+01,10,8,8,9.500000e+00,8.500000e+00,5.500000e+00,5,9,9,8.583333e+00,0,0,1,1,0,0,1,2,1,0,1,0,1,0,0,1,1,1,0,0,1,0,2,1,0,1,2,1,0,1,6.666667e-01
10,5,5.000000e-01,1.889210e-02,11,7.500000e+00,1.150000e+01,7,9,7.500000e+00,10,9.500000e+00,7.500000e+00,7,9,8.500000e+00,1.050000e+01,7.500000e+00,8.500000e+00,10,1.150000e+01,9,8,5.500000e+00,9,9,8.500000e+00,9,10,9,1.050000e+01,9.500000e+00,13,10,9.100000e+00,3,1.500000e+00,2,1,1,1,0,0,0,0,2,2,0,1,3,1,1,5.000000e-01,0,0,1,0,2,2,2,0,2,1,0,2,1.066667e+00
5,6,5.000000e-01,2.120710e-02,9,5.500000e+00,7,4.500000e+00,3.500000e+00,5.500000e+00,4.500000e+00,6,7,6.500000e+00,8.500000e+00,7,6,6.500000e+00,5,8,5.500000e+00,7.500000e+00,6,8.500000e+00,3.500000e+00,5.500000e+00,10,7,7.166667e+00,3.500000e+00,4.500000e+00,7,7.166667e+00,5.500000e+00,6.277778e+00,2,2,1,1,1.500000e+00,1,1,1,4,2,1,0,5,2,1,1.666667e+00,0,1,2,2,0,1,0,0,2.166670e+00,5.000000e-01,0,0,0,2.500000e+00,1.277778e+00
6,6,5.000000e-01,1.588090e-02,7,7,8,7,6,7.666667e+00,5.833333e+00,7,6,9,6.500000e+00,5,8,9,6.500000e+00,8,7,6.500000e+00,6,7.500000e+00,6,1.050000e+01,8.500000e+00,8.500000e+00,1.016667e+01,9,8,6.500000e+00,4,4,7.188889e+00,1,0,1,2,3,2,0,5.000000e-01,1,1,1,0,2.500000e+00,0,2.500000e+00,0,0,3,1,0,1,0,2,2.500000e+00,1,2,1.500000e+00,0,0,0,1.050000e+00
7,6,5.000000e-01,1.529070e-02,7.500000e+00,9.500000e+00,8,8.500000e+00,9,11,9,11,10,7,10,10,8,9.500000e+00,10,6.500000e+00,6.500000e+00,8,9.500000e+00,8.500000e+00,9,12,8.500000e+00,9,10,8.500000e+00,7,5.500000e+00,11,7,8.816667e+00,3,0,0,5.000000e-01,2.500000e+00,1,0,2,1,2.166670e+00,2,2,1,4.500000e+00,0,1,1.500000e+00,2,2,0,1,0,1,1,5,1,1,0,0,0,1.272222e+00
8,6,5.000000e-01,2.404280e-02,10,1.250000e+01,8.500000e+00,10,1.350000e+01,9.500000e+00,10,1.050000e+01,7.500000e+00,4.500000e+00,9.500000e+00,1.050000e+01,11,6,11,10,6.500000e+00,9.500000e+00,8,8.500000e+00,9.500000e+00,11,8.500000e+00,10,1.050000e+01,11,12,9,8.500000e+00,8.500000e+00,9.516667e+00,1,3,1,1,2,2,4,2,1,0,5.000000e-01,0,0,0,2,5,0,1,2,1,1.500000e+00,5.000000e-01,0,0,1,1,0,1,3.500000e+00,2.500000e+00,1.316667e+00
9,6,5.000000e-01,1.465380e-02,1.250000e+01,10,13,1.250000e+01,1.050000e+01,9,12,9,8.500000e+00,9,10,8,1.350000e+01,12,8,13,11,9.500000e+00,1.050000e+01,1.250000e+01,9,11,9,6,7.500000e+00,10,9,13,9,14,1.038333e+01,0,2,3,3,1,1,4,5.000000e-01,2,1,1,2,3,1,0,2,2,1,0,2.166670e+00,1,3,4,0,3,2,1,2,2,1,1.688889e+00
10,6,5.000000e-01,2.337640e-02,7,1.450000e+01,14,1.050000e+01,1.050000e+01,11,5.500000e+00,12,11,1.650000e+01,8,1.350000e+01,12,1.250000e+01,13,16,11,10,13,12,10,11,12,1.216667e+01,1.266667e+01,10,14,1.450000e+01,1.250000e+01,15,1.191111e+01,2,2,2,1,1,1,1,0,3,3,0,0,2,1.500000e+00,2,0,1,2,3,2,5.000000e-01,1,1,2,2,1,2,1,2,1,1.433333e+00
